gen,description,te_class_suzukii
cg13386,,DNA/RC
cg13385,,DNA/RC
cg42820,,DNA/RC
snrna:u6atac,,DNA/RC
cg42819,,DNA/RC
cg13384,,DNA/RC
dad1,Defender against apoptotic cell death,DNA/RC
asrna:cr45371,antisense,LINE/I
cg14273,,LINE/I
witty,without,LINE/I
cg14275,,LINE/I
cg7781,,DNA
scgalpha,Sarcoglycan,DNA
wol,,DNA
btk,Bruton tyrosine,DNA
lncrna:cr43752,long non-coding,DNA
trna:lys-ttt-1-1,,DNA
mir-2b-1,,DNA/RC
cg8086,,DNA/RC
cg14277,,DNA/RC
spn28f,Serpin,DNA/RC
pvr,PDGF- and VEGF-receptor,DNA/RC
trp1,Translocation protein,DNA
cg13131,,DNA
lncrna:cr44874,long non-coding,DNA
lncrna:cr44875,long non-coding,DNA
cg13133,,DNA
bcs1,Bcs1,LTR/Gypsy
cg5708,,LTR/Gypsy
ova,ovaries,LTR/Gypsy
eef1delta,eukaryotic translation elongation factor 1,LTR/Gypsy
mthl15,methuselah-like,LTR/Gypsy
me31b,maternal expression at,DNA
hand,,DNA/PIFHARBINGER
cyld,,DNA/PIFHARBINGER
asrna:cr44968,antisense,DNA/PIFHARBINGER
mrpl4,mitochondrial ribosomal protein,DNA/PIFHARBINGER
cg31817,,DNA/PIFHARBINGER
cg42266,,DNA/PIFHARBINGER
hyls1,,DNA
chif,,DNA
cg4455,,DNA
cabp1,calcium-binding protein,DNA
jhamt,juvenile hormone acid,DNA
cg5888,,DNA
dac,,LTR/Gypsy
lncrna:cr45354,long non-coding,DNA
lncrna:cr45355,long non-coding,DNA
mtgo,miles to,DNA/P
snorna:me18s-g1506,,LINE/I
cg31808,,DNA
cg31743,dicistronic,LINE
cg34313,dicistronic,LINE
osi,,LINE
snx1,Sorting nexin,LINE
cg2772,,LINE
pgant2,Polypeptide N-Acetylgalactosaminyltransferase,DNA
ptpa,Phosphotyrosyl phosphatase,DNA
cg9662,,DNA
cg15408,,LTR
cg3285,,LTR
cg33282,,DNA/RC
cg33281,,DNA/RC
otoplb,Otopetrin-like,DNA/P
hydr2,alpha/beta,DNA/RC
gkt,,DNA/RC
mad,Mothers against,DNA/RC
nd-b14.5b,NADH dehydrogenase (ubiquinone) B14.5 B,DNA/MAVERICK
fasn2,Fatty acid synthase,LINE
snrna:u5:23d,,LINE
snrna:u5:35d,,LINE
cg17221,,LINE
cnir,cornichon,LTR/Gypsy
cg17260,,LTR/Gypsy
serrs,Seryl-tRNA,LTR/Gypsy
cg17258,,LTR/Gypsy
gabpi,beta4GalNAcTB,LTR/Gypsy
asrna:cr44147,antisense,LTR/Gypsy
sf3b2,Splicing factor 3b subunit,LTR/Gypsy
prp40,pre-mRNA processing factor,LTR/Gypsy
alpha4gt1,alpha1%2C4-galactosyltransferase,LTR/Gypsy
cg17264,,LTR/Gypsy
ccdc85,,LTR/Gypsy
duox,Dual,DNA/RC
cg3123,,DNA/RC
snapin,SNAP associated,DNA/RC
hemk2,HemK methyltransferase,DNA/RC
bacc,,DNA/RC
pgk,Phosphoglycerate,DNA/RC
cwc25,,DNA/RC
cg9961,,DNA/RC
hrs,Hepatocyte growth factor regulated tyrosine kinase,DNA/RC
cg31689,,DNA
tmtc1,Transmembrane O-mannosyltransferase targeting cadherins,DNA
lncrna:ts4,long noncoding RNA: testis-specific,DNA
lncrna:cr46328,long non-coding,DNA
lncrna:cr44789,long non-coding,DNA
lncrna:cr44790,long non-coding,DNA
slf,,DNA
cg3294,,DNA
fipi,factor of interpulse,DNA/RC
elba1,Early boundary activity,DNA
lncrna:cr45452,long non-coding,LTR/Gypsy
mfs18,Major Facilitator Superfamily Transporter,LINE/CR1
elp3,Elongator complex protein,LINE/CR1
morgue,modifier of rpr and grim%2C ubiquitously,LINE/CR1
cg15432,,LINE/CR1
cg15431,,LINE/CR1
cg34177,dicistronic,LINE/CR1
cg34178,dicistronic,LINE/CR1
trna:trp-cca-2-1,,DNA
dim1,,DNA
cg15429,,DNA/P
lncrna:cr44700,long non-coding,DNA/P
lncrna:cr44698,long non-coding,DNA/P
asrna:cr46486,antisense,DNA
s,,DNA/RC
ast,,DNA
atg4a,Autophagy-related,DNA
cg4629,,DNA
lncrna:cr45717,long non-coding,DNA/P
mfs3,Major Facilitator Superfamily Transporter,DNA/P
cg5397,,DNA
a5,antennal protein,DNA/RC
cg17646,,LINE/I
cg17712,,LINE/I
gr22f,Gustatory receptor,LINE/I
gr22e,Gustatory receptor,DNA
wry,,DNA
cg31663,,DNA
cg7295,,DNA
lncrna:cr44075,long non-coding,DNA
wdr62,WD repeat domain,DNA
erm,,DNA
trna:arg-tct-2-1,,LINE
der-1,,DNA
cg33543,,LTR/Gypsy
asrna:cr43464,antisense,LTR/Gypsy
cg15353,,DNA
asrna:cr45712,antisense,DNA
nplp4,Neuropeptide-like precursor,DNA
trna:gln-ctg-2-2,,DNA
trna:gln-ctg-2-3,,LINE/I
cg4238,,LINE/I
trna:gln-ctg-2-4,,LINE/I
trna:gln-ctg-3-1,,LINE/I
trna:gln-ctg-2-5,,LINE/I
cg42296,,DNA/RC
cg14402,,DNA
lncrna:cr44307,long non-coding,DNA
cg33322,,LTR/Gypsy
cg9328,,LTR/Gypsy
vari,,DNA
pomp,,DNA
cad,,DNA
hr38,Hormone receptor-like in,LTR/COPIA
lncrna:cr44188,long non-coding,LTR/COPIA
lncrna:cr44187,long non-coding,LTR/COPIA
ikkepsilon,I-kappaB kinase,LINE/L2
cg31678,,LINE/L2
lncrna:cr45004,long non-coding,LINE/L2
mir-288,mir-288 stem,DNA
mir-133,mir-133 stem,DNA
lncrna:cr43608,long non-coding,DNA
cg31677,,DNA
lncrna:ts1,long noncoding RNA: testis-specific,DNA
lncrna:cr45707,long non-coding,DNA
cg44270,,DNA
lncrna:cr45361,long non-coding,DNA/RC
lncrna:cr43234,long non-coding,DNA/RC
lncrna:cr46416,long non-coding,DNA/RC
lncrna:cr44980,long non-coding,LTR/COPIA
cg2493,,LTR/COPIA
cdc23,Cell division cycle,LTR/COPIA
cg18858,,LTR/COPIA
cg31688,,DNA/RC
cg15130,,DNA/RC
nachralpha5,nicotinic Acetylcholine Receptor,DNA
nimc4,Nimrod,DNA
cg46301,,LINE/CR1
cg43333,,LINE/CR1
dyrk2,Dual-specificity tyrosine phosphorylation-regulated kinase,DNA
lncrna:cr44728,long non-coding,LTR/Gypsy
lncrna:cr44216,long non-coding,LTR/Gypsy
wb,wing,DNA/RC
lncrna:cr44729,long non-coding,DNA/RC
cg32971,,LTR
lncrna:cr43639,long non-coding,DNA/PIGGYBAC
lncrna:cr43640,long non-coding,DNA/RC
elb,elbow,DNA
pburs,Partner of,DNA/RC
cpr35b,Cuticular protein,DNA/RC
lncrna:cr44732,long non-coding,LTR
lncrna:cr45726,long non-coding,LTR/Gypsy
cg15283,,LTR/Gypsy
lncrna:cr44731,long non-coding,DNA
noc,no,DNA
trna:pro-agg-1-1,,DNA
lncrna:cr45303,long non-coding,DNA
lncrna:cr45693,long non-coding,LINE/I
trna:gly-gcc-1-4,,DNA
trna:gly-gcc-1-5,,DNA
trna:gly-gcc-1-6,,DNA
cg33648,,DNA
trna:gly-gcc-1-7,,DNA
lncrna:cr44852,long non-coding,DNA
cg4218,,DNA
lncrna:cr44853,long non-coding,DNA
lncrna:cr44854,long non-coding,DNA
lncrna:cr44855,long non-coding,DNA
lncrna:cr44856,long non-coding,LTR/COPIA
odd,odd,DNA/RC
lncrna:cr43823,long non-coding,DNA/RC
lncrna:ts2,long noncoding RNA: testis-specific,DNA/RC
sob,sister of odd and,DNA/RC
cg43815,,DNA/RC
lncrna:cr43822,long non-coding,DNA/RC
drm,,DNA/PIFHARBINGER
lncrna:cr44308,long non-coding,DNA/PIFHARBINGER
ift57,Intraflagellar transport,LTR/Gypsy
spindly,,LTR/Gypsy
cg8852,,LTR/Gypsy
cg8851,,LTR/Gypsy
lncrna:cr44864,long non-coding,DNA
lncrna:cr43761,long non-coding,DNA
cg15255,,LINE/I
lncrna:cr44865,long non-coding,LINE/I
semp1,Seminal,LINE/I
cg15254,,LINE/I
cg15253,,LINE/I
or35a,Odorant receptor,LINE/I
cg7631,,LTR/COPIA
cg18480,,LTR/COPIA
cg31826,,DNA
cg13243,,DNA
tektin-a,Tektin,DNA
cg31821,,DNA/RC
lncrna:cr44867,long non-coding,DNA/RC
lncrna:cr44868,long non-coding,DNA/RC
cg13244,,DNA
cg10839,,DNA
lncrna:cr43412,long non-coding,DNA
beat-ic,beaten path,DNA/RC
cg34167,,DNA/RC
lncrna:cr43826,long non-coding,DNA/RC
cg13245,dicistronic,DNA/RC
cg43816,dicistronic,DNA/RC
cg31820,,LTR/Gypsy
lncrna:cr44844,long non-coding,LTR/Gypsy
cg45084,dicistronic,LINE
bicc,Bicaudal,LINE
beat-ia,beaten path,DNA
cg4891,,DNA/P
asrna:cr43806,antisense,LTR/Gypsy
lncrna:cr44735,long non-coding,DNA
lncrna:cr44736,long non-coding,DNA
lncrna:cr43840,long non-coding,DNA/MITE
ca-ma2d,Ca[2+] channel Muscle-specific alpha2/delta,DNA/RC
cg46309,dicistronic,DNA/RC
prl-1,PRL-1,DNA/RC
lncrna:cr43620,long non-coding,DNA
lncrna:cr45183,long non-coding,DNA/RC
snrna:u5:14b,,DNA
lncrna:cr44978,long non-coding,DNA
msb1l,,DNA
spi,,DNA
mir-2b-2,,DNA
mir-2a-1,,DNA
mir-2a-2,,DNA
cg13077,,DNA
cg13078,,DNA
tep4,Thioester-containing protein,DNA
cg10132,,DNA
cg13084,,DNA
cg10195,,DNA
lncrna:cr43839,long non-coding,DNA
lncrna:cr45723,long non-coding,DNA
lncrna:cr45722,long non-coding,DNA
cg10026,,DNA
tbcd,Tubulin-binding cofactor,DNA
cg11723,,DNA
tho2,,DNA
glyp,Glycogen,DNA
lncrna:cr44055,long non-coding,DNA
lncrna:cr44808,long non-coding,DNA
lncrna:cr44606,long non-coding,DNA
l(2)05287,lethal (2),DNA/RC
asrna:cr43809,antisense,DNA/RC
cg9257,,DNA/RC
cg46307,dicistronic,DNA/RC
nhe2,Na[+]/H[+] hydrogen exchanger,DNA/RC
lncrna:cr44056,long non-coding,DNA/RC
noc2,Nucleolar complex protein,LTR
cg43345,dicistronic,LTR
cg43346,dicistronic,LTR
macon1,Mitochondrial aconitase,LTR
bur,,LTR
scarna:psiu2-38.40.42,small Cajal body-specific RNA :,LTR
tweek,,LINE/CR1
lncrna:cr43053,long non-coding,LINE/I
beat-iiib,beaten path,LINE/I
lncrna:cr45356,long non-coding,LINE
lncrna:cr45357,long non-coding,LINE
lncrna:cr45462,long non-coding,DNA
lncrna:cr43819,long non-coding,DNA/RC
cg12620,,DNA/RC
lncrna:cr45696,long non-coding,DNA
cg45691,,DNA
lncrna:cr44345,long non-coding,DNA/RC
lncrna:cr44346,long non-coding,DNA/RC
lrch,Leucine-rich-repeats and calponin homology domain,DNA/RC
cg5043,,DNA
asrna:cr45715,antisense,DNA
mefts,mitochondrial translation elongation factor,DNA
dhc36c,Dynein heavy chain at,DNA
cg15143,,DNA
cg15144,,DNA/RC
cg15145,,DNA/RC
lncrna:cr45697,long non-coding,DNA
cg7094,,DNA
lncrna:cr45919,long non-coding,DNA
mir-124,mir-124 stem,LINE/I
mir-287,mir-287 stem,DNA
lncrna:cr45358,long non-coding,DNA
lncrna:cr45698,long non-coding,DNA
lncrna:cr45111,long non-coding,DNA/RC
lncrna:cr45112,long non-coding,LTR/Gypsy
lncrna:cr44411,long non-coding,LTR/Gypsy
oli,Olig,LTR/Gypsy
cg6870,,LTR/Gypsy
sytalpha,Synaptotagmin,LTR/Gypsy
lncrna:cr44412,long non-coding,DNA
lncrna:cr44413,long non-coding,DNA
cg15147,,DNA
lncrna:cr45699,long non-coding,LTR/Gypsy
cg43231,,LTR/Gypsy
lncrna:cr43419,long non-coding,DNA/RC
lncrna:cr43420,long non-coding,DNA
lncrna:cr44399,long non-coding,DNA/RC
socs36e,Suppressor of cytokine signaling at,DNA
lncrna:cr44478,long non-coding,DNA
cg9498,,DNA/PIFHARBINGER
cg17681,,LTR/Gypsy
cg5783,,LTR/Gypsy
jmjd4,Jumonji domain containing,LTR/Gypsy
cg42750,,DNA/RC
ptp36e,Protein tyrosine phosphatase,DNA
lncrna:cr44900,long non-coding,DNA
lncrna:cr43406,long non-coding,DNA
lncrna:cr43408,long non-coding,DNA
lncrna:cr44901,long non-coding,DNA
lncrna:cr44902,long non-coding,DNA
cg31787,,DNA
lncrna:cr44696,long non-coding,DNA/RC
cg5790,,DNA
lncrna:cr44695,long non-coding,DNA
lncrna:cr45721,long non-coding,DNA
lncrna:cr44489,long non-coding,DNA
fas3,Fasciclin,DNA
cg34171,,DNA
lncrna:cr44488,long non-coding,DNA
rps26,Ribosomal protein,DNA
ncm,,DNA
lncrna:let7c,,DNA
mir-100,mir-100 stem,DNA
mir-let7,,DNA
mir-125,mir-125 stem,DNA
cg10283,,DNA
cg10211,,LTR/Gypsy
lncrna:cr44903,long non-coding,LTR/Gypsy
cg10413,,DNA/RC
cg10333,,DNA/RC
atac2,Ada2a-containing complex component,DNA/RC
ift46,Intraflagellar transport,DNA/RC
cyp310a1,Cytochrome P450,LTR
cg43338,,LINE/I
cg10376,,LTR
cg10343,,LTR
faf2,Fas-associated factor,DNA/RC
grip71,,DNA/RC
irk3,Inwardly rectifying potassium channel,DNA/RC
cg10348,,DNA/RC
cg43814,,LINE/I
lncrna:cr43817,long non-coding,LINE/I
cg10570,dicistronic,LINE/I
cg42502,dicistronic,LINE/I
cg17325,dicistronic,LINE/I
cg42305,dicistronic,LINE/I
ugt36f1,UDP-glycosyltransferase family 36 member,DNA
ugt36d1,UDP-glycosyltransferase family 36 member,DNA
ugt36e1,UDP-glycosyltransferase family 36 member,DNA
cg17597,,DNA
scpx,Sterol carrier protein X-related,DNA
cg10600,,DNA
tup,,DNA
lncrna:cr44737,long non-coding,DNA
lncrna:cr44739,long non-coding,DNA
lncrna:cr44738,long non-coding,DNA
ssp3,short spindle,DNA
lncrna:cr44740,long non-coding,DNA/RC
cg46304,,DNA/RC
cg10428,,DNA/RC
nedd8,Nedd8 ubiquitin like,DNA/RC
cg10621,,DNA/RC
nak,Numb-associated,DNA/RC
tango6,Transport and Golgi organization,DNA/RC
l2hgdh,L-2-hydroxyglutarate,DNA/RC
cg10431,,DNA/RC
swip-1,,LINE/I
emc5,ER membrane protein complex subunit,LINE/I
cg15170,,LINE/I
cg31793,,DNA/MAVERICK
rpl30,Ribosomal protein,DNA
snorna:me28s-a2113,,DNA
robl37bc,,DNA
lncrna:cr45292,long non-coding,DNA
lncrna:cr44184,long non-coding,LINE/I
lncrna:cr43700,long non-coding,LINE/I
sidpn,similar to,LINE/I
hook,,LINE/I
cg31800,,DNA/MAVERICK
mib2,mind bomb,DNA/MAVERICK
phlpp,PH domain leucine-rich repeat protein,DNA
dus4,Dihydrouridine synthase,DNA
cg10702,,DNA
cg17343,,DNA
cg17572,,DNA
cg10700,,DNA
lim3,,DNA/MAVERICK
lncrna:cr44905,long non-coding,DNA/MAVERICK
amd,alpha methyl,DNA/MAVERICK
cg10561,,DNA/MAVERICK
ddc,Dopa,LTR/Gypsy
phb1,Prohibitin,LTR/Gypsy
l(2)37cb,lethal (2),LTR/Gypsy
l(2)37cd,lethal (2),LTR/Gypsy
asnrs,Asparaginyl-tRNA,LTR/Gypsy
dctn6-p27,Dynactin 6%2C p27,LTR
polr1d,RNA polymerase I and III subunit,LTR
cg46059,,DNA
gammatub37c,gamma-Tubulin at,DNA
pigeon,,DNA
cg17349,,LINE/CR1
cg17350,,DNA/RC
fon,,DNA/RC
lectin-galc1,Galactose-specific C-type,LTR/Gypsy
alp12,Alkaline phosphatase,LINE/L2
cg13085,,LINE/L2
rtcb,RtcB RNA,DNA
cg13088,,DNA
dsf,,LTR/COPIA
asrna:cr43926,antisense,LTR/COPIA
cg9016,,DNA/RC
lncrna:cr45289,long non-coding,DNA/RC
lncrna:cr45288,long non-coding,DNA/RC
bchs,blue,DNA/RC
cg14000,,DNA
lncrna:cr43808,long non-coding,DNA
lncrna:cr44579,long non-coding,DNA
rau,,DNA
lncrna:cr44576,long non-coding,DNA/RC
cg11034,,DNA/RC
cg7239,,DNA/MAVERICK
cg14005,,DNA/MAVERICK
obst-e,,DNA/RC
cg11030,,DNA/RC
cg11029,,DNA/RC
cg11147,,DNA/RC
cg14006,,LTR
sip1,septin interacting protein,LTR
cg14007,,LTR
asrna:cr44818,antisense,LTR
cg7236,,DNA/RC
lncrna:cr44819,long non-coding,DNA
lncrna:cr44820,long non-coding,DNA
cg12511,,DNA
hsp60c,Heat shock protein,DNA
dip-theta,Dpr-interacting protein,DNA/RC
mir-959,mir-959 stem,LTR/COPIA
dip-eta,Dpr-interacting protein,LTR/Gypsy
cg18266,,DNA
cg7251,,DNA
cg14011,,DNA
snrna:u4:25f,,DNA/RC
lncrna:cr44794,long non-coding,DNA/RC
gluriib,Glutamate receptor,DNA/RC
gluriia,Glutamate receptor,DNA/RC
cg14017,,DNA/RC
mondo,,DNA/P
crc,,DNA/P
cg46314,dicistronic,DNA/P
lncrna:cr44785,long non-coding,DNA/RC
lncrna:cr45362,long non-coding,DNA
lncrna:cr43762,long non-coding,DNA
lncrna:cr44217,long non-coding,DNA
lncrna:cr44803,long non-coding,DNA
frj,,DNA/RC
cg9536,,DNA
sec61alpha,Sec61 alpha,DNA
daxx,Daxx-like,DNA
kfase,Kynurenine,LINE/R1
epsiloncop,Coat Protein (coatomer),DNA/RC
phf5a,PHD finger protein,DNA/RC
cg31638,,DNA/RC
cg9547,,DNA/RC
lncrna:cr44775,long non-coding,DNA/PIFHARBINGER
lncrna:cr44776,long non-coding,DNA
ift52,Intraflagellar transport,DNA
cox5b,Cytochrome c oxidase subunit,DNA
trmt6,tRNA methyltransferase 6 non-catalytic,DNA
dpp10,Dipeptidyl peptidase,DNA
cg11050,,DNA
dip-iota,Dpr-interacting protein,DNA
cg34345,,DNA
oatp26f,Organic anion transporting polypeptide,DNA
cg31635,,DNA
tango1,Transport and Golgi organization,DNA
cg31636,,LTR
ube4a,Ubiquitination factor,LTR
nhe3,Na[+]/H[+] hydrogen exchanger,LTR
cort,,LTR
cup,dicistronic,DNA
cg34310,dicistronic,DNA
galt,Galactose-1-phosphate,DNA
snrnp-u1-70k,small ribonucleoprotein particle U1 subunit,DNA
sumo,Small ubiquitin like,DNA
coprox,Coproporphyrinogen,DNA
sip2,septin interacting protein,DNA
hmgcl,3-Hydroxymethyl-3-methylglutaryl-CoA,DNA
atac1,Ada2a-containing complex component,DNA
l(2)k09022,lethal (2),DNA
sens-2,,DNA
lncrna:cr44081,long non-coding,DNA/RC
cg17375,,DNA/RC
daao2,D-amino acid oxidase,DNA/PIFHARBINGER
cg17377,,DNA/PIFHARBINGER
cg17376,,DNA/PIFHARBINGER
nrv2,nervana,LINE/I
ttll3b,Tubulin tyrosine ligase-like,LTR
liprin-alpha,,LTR
homer,,LTR
aatf,Apoptosis antagonizing transcription,LTR
lncrna:cr46196,long non-coding,DNA
pvf3,PDGF- and VEGF-related factor,DNA
lncrna:cr44610,long non-coding,LTR/Gypsy
lncrna:cr46210,long non-coding,LTR/Gypsy
lncrna:cr44613,long non-coding,LTR/Gypsy
micu1,Mitochondrial calcium uptake,DNA
cg4496,,DNA
cg4502,,LINE
cg13784,,LINE
mefg1,mitochondrial translation elongation factor G,DNA
asrna:cr44989,antisense,DNA
ndae1,Na[+]-driven anion exchanger,DNA
cg13786,,DNA
wnt4,Wnt oncogene analog,DNA
wg,,DNA
lncrna:cr45304,long non-coding,DNA
wnt10,Wnt oncogene analog,DNA
asrna:cr44063,antisense,DNA
ninac,neither inactivation nor afterpotential,DNA
cg5149,,DNA
gudu,,DNA
cg5160,,DNA
ziz,,DNA/RC
lncrna:cr46535,long non-coding,DNA
lncrna:cr45370,long non-coding,LTR
cg6739,,DNA/RC
cyp4d21,Cytochrome P450,DNA/RC
lncrna:cr44799,long non-coding,DNA/RC
lncrna:cr44800,long non-coding,DNA/RC
slob,Slowpoke binding,DNA/RC
tep2,Thioester-containing protein,DNA/RC
cg13793,,DNA/RC
cg33296,,DNA/RC
ntl,Neurotransmitter,DNA/RC
trna:tyr-gta-1-9,,DNA/RC
tep3,Thioester-containing protein,LTR/Gypsy
asrna:cr44990,antisense,LTR/Gypsy
cdc14,Cell division cycle,DNA
cg18088,,DNA
cg9541,,DNA
cg13101,,LTR/Gypsy
cg18662,,LTR/Gypsy
rost,rolling,LTR/Gypsy
dip-zeta,Dpr-interacting protein,DNA/RC
lncrna:cr44483,long non-coding,LTR/Gypsy
cg12439,,LTR/COPIA
toll-4,,DNA/RC
or30a,Odorant receptor,DNA
lncrna:cr44617,long non-coding,DNA
lncrna:cr44616,long non-coding,DNA
ggamma30a,G protein gamma subunit,DNA/RC
lncrna:cr45262,long non-coding,DNA/RC
lncrna:cr45456,long non-coding,LINE/I
lncrna:cr45457,long non-coding,LINE/I
cg17005,,LINE/I
cks30a,Cyclin-dependent kinase subunit,LINE/I
eaat1,Excitatory amino acid transporter,LINE/I
cg3748,,DNA/RC
lncrna:cr44802,long non-coding,DNA/RC
cg13110,,DNA/RC
lncrna:cr43404,long non-coding,DNA
asrna:cr43865,antisense,DNA
mco1,Multicopper oxidase,DNA/RC
fbp2,Fat body protein,LTR/Gypsy
fuctb,alpha1%2C3-fucosyltransferase,LTR/Gypsy
scat,,LTR/Gypsy
cg3769,,DNA/RC
numb,,DNA/RC
lncrna:cr43769,long non-coding,DNA/MAVERICK
gdi,GDP dissociation,LINE
cg33298,,DNA
oatp30b,Organic anion transporting polypeptide,LINE/I
cg17855,,LINE/I
cpr30b,Cuticular protein,LINE/I
cg13113,,LINE/I
cg13114,,LINE/I
gcm2,,DNA/MITE
trx2,Thioredoxin,DNA/MITE
